epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1565.57,3.46487,0.71611,0.9165,1.1639,0.0033276,0.0033276,0.0033276
2,3336.98,1.01018,0.80796,0.96071,0.66582,0.00652904,0.00652904,0.00652904
3,4766.54,0.80249,0.77701,0.95236,0.81178,0.00959849,0.00959849,0.00959849
4,5937.4,0.79616,0.80894,0.95088,0.70942,0.009406,0.009406,0.009406
5,6881.01,0.69271,0.83153,0.97053,0.60496,0.009208,0.009208,0.009208
6,8173.6,0.59649,0.83988,0.96807,0.54856,0.00901,0.00901,0.00901
7,10285.7,0.52213,0.86248,0.97593,0.50673,0.008812,0.008812,0.008812
8,12402,0.45027,0.86493,0.9725,0.47649,0.008614,0.008614,0.008614
9,13994.9,0.397,0.87917,0.9725,0.45399,0.008416,0.008416,0.008416
10,14906.3,0.34853,0.8836,0.97397,0.46747,0.008218,0.008218,0.008218
11,16087,0.29733,0.88703,0.9779,0.41915,0.00802,0.00802,0.00802
12,17311.4,0.27694,0.88065,0.98084,0.42511,0.007822,0.007822,0.007822
13,18194.3,0.22541,0.89931,0.9779,0.40206,0.007624,0.007624,0.007624
14,19363.5,0.20922,0.89637,0.98183,0.38745,0.007426,0.007426,0.007426
15,20582.6,0.16812,0.91208,0.98232,0.3587,0.007228,0.007228,0.007228
16,21464.3,0.14183,0.90521,0.98183,0.38122,0.00703,0.00703,0.00703
17,22659,0.14462,0.91012,0.98428,0.37157,0.006832,0.006832,0.006832
18,23872.2,0.12615,0.90766,0.97741,0.401,0.006634,0.006634,0.006634
19,24749.5,0.10806,0.91552,0.9833,0.33928,0.006436,0.006436,0.006436
20,25977.5,0.08833,0.91896,0.98084,0.386,0.006238,0.006238,0.006238
21,26875.9,0.07496,0.91699,0.98183,0.3433,0.00604,0.00604,0.00604
22,27858.9,0.06312,0.92092,0.9833,0.34356,0.005842,0.005842,0.005842
23,29080.2,0.05831,0.91699,0.98379,0.34141,0.005644,0.005644,0.005644
24,29969.3,0.04909,0.92829,0.98674,0.32273,0.005446,0.005446,0.005446
25,30865.3,0.0329,0.92976,0.9833,0.33102,0.005248,0.005248,0.005248
26,32115.3,0.0296,0.93222,0.98576,0.35442,0.00505,0.00505,0.00505
27,33010.3,0.02892,0.92829,0.98772,0.34973,0.004852,0.004852,0.004852
28,33909,0.02678,0.93222,0.98625,0.31313,0.004654,0.004654,0.004654
29,35341.6,0.02362,0.93026,0.98821,0.30819,0.004456,0.004456,0.004456
30,36589.5,0.01916,0.94008,0.98723,0.28125,0.004258,0.004258,0.004258
31,37634.1,0.0159,0.93566,0.98477,0.30726,0.00406,0.00406,0.00406
32,38880.6,0.01613,0.93861,0.98821,0.28497,0.003862,0.003862,0.003862
33,40096.4,0.01136,0.94155,0.98723,0.27727,0.003664,0.003664,0.003664
34,41007.7,0.0101,0.93664,0.98772,0.28398,0.003466,0.003466,0.003466
35,41905.1,0.00929,0.9391,0.9887,0.28562,0.003268,0.003268,0.003268
36,43128.7,0.00968,0.94008,0.98674,0.2816,0.00307,0.00307,0.00307
37,44019.8,0.00981,0.94008,0.99018,0.27487,0.002872,0.002872,0.002872
38,45877.9,0.00623,0.94057,0.98772,0.25847,0.002674,0.002674,0.002674
39,48107.8,0.00716,0.94155,0.98821,0.27515,0.002476,0.002476,0.002476
40,49202.1,0.00677,0.94106,0.98723,0.27436,0.002278,0.002278,0.002278
41,50097.4,0.00486,0.94106,0.98919,0.27666,0.00208,0.00208,0.00208
42,51274.8,0.00495,0.94155,0.9887,0.27074,0.001882,0.001882,0.001882
43,52281.3,0.00372,0.94106,0.99018,0.26539,0.001684,0.001684,0.001684
44,53471.6,0.0044,0.94303,0.98969,0.2651,0.001486,0.001486,0.001486
45,54654.4,0.00397,0.94352,0.98969,0.2771,0.001288,0.001288,0.001288
46,55533.4,0.00387,0.94155,0.99067,0.26563,0.00109,0.00109,0.00109
47,56717.9,0.00341,0.94303,0.99067,0.25539,0.000892,0.000892,0.000892
48,57585.8,0.00281,0.94204,0.99018,0.25587,0.000694,0.000694,0.000694
49,58527.2,0.00363,0.94253,0.98969,0.25568,0.000496,0.000496,0.000496
50,59831.8,0.00268,0.94253,0.99018,0.25857,0.000298,0.000298,0.000298
